City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,100,75,3.0,RU,1722476685
204,camana,-16.6228,-72.7111,16.21,84,29,2.49,PE,1722476687
205,greenville,35.6127,-77.3663,28.01,90,0,0.45,US,1722476402
206,oranjemund,-28.55,16.4333,10.81,72,0,3.58,NA,1722476690
207,mar del plata,-38.0023,-57.5575,12.01,90,0,9.39,AR,1722476405
208,neiafu,-18.65,-173.9833,26.38,57,40,3.6,TO,1722476694
209,kuchen,48.6358,9.7999,19.5,95,100,0.82,DE,1722476696
210,papao,-17.75,-149.55,24.82,59,51,7.36,PF,1722476698
211,vendas novas,38.6771,-8.4579,19.37,97,7,2.2,PT,1722476700
212,nova vicosa,-17.8919,-39.3719,22.35,88,24,5.18,BR,1722476702
213,santa ana,33.7456,-117.8678,31.82,53,20,3.6,US,1722476652
214,tshabong,-26.05,22.45,13.02,45,20,6.5,BW,1722476706
215,dudinka,69.4058,86.1778,22.79,44,82,2.53,RU,1722476708
216,berezovyy,51.6667,135.7,19.38,88,100,2.09,RU,1722476710
217,newman,37.3138,-121.0208,36.13,38,73,2.68,US,1722476712
218,geraldton,-28.7667,114.6,17.23,55,81,6.17,AU,1722476714
219,thal,35.4791,72.2439,19.28,71,29,0.93,PK,1722476716
220,buhe,30.2876,112.2298,26.31,90,100,5.13,CN,1722476718
221,talnakh,69.4865,88.3972,22.64,40,100,0.74,RU,1722476720
222,port-vila,-17.7338,168.3219,25.78,73,75,4.12,VU,1722476721
223,axim,4.8699,-2.2405,23.49,91,100,5.05,GH,1722476723
224,chop,48.432,22.2055,16.45,51,73,3.17,UA,1722476725
225,wewak,-3.5534,143.6268,29.25,73,76,3.66,PG,1722476727
226,apac,1.9756,32.5386,17.81,97,99,1.9,UG,1722476729
227,touros,-5.1989,-35.4608,23.78,86,39,6.36,BR,1722476731
228,kone,-21.0595,164.8658,23.58,56,100,3.77,NC,1722476733
229,callao,-12.0667,-77.15,17.62,77,100,6.17,PE,1722476735
230,kenai,60.5544,-151.2583,21.68,37,0,4.63,US,1722476737
231,port hedland,-20.3167,118.5667,25.03,22,100,5.66,AU,1722476738
232,griffith,41.5284,-87.4237,28.3,79,0,2.57,US,1722476740
233,alo,6.5486,4.2686,23.8,91,100,3.76,NG,1722476742
234,orkney,-26.9802,26.6727,11.68,66,98,3.86,ZA,1722476744
235,brignoles,43.4,6.0667,22.01,63,0,1.76,FR,1722476746
236,shilovo,54.3204,40.874,12.33,98,24,3.62,RU,1722476748
237,saldanha,-33.0117,17.9442,6.03,85,0,4.74,ZA,1722476750
238,holualoa,19.6228,-155.9522,25.31,71,53,0.45,US,1722476752
239,miracema do tocantins,-9.5618,-48.3967,25.53,34,10,1.38,BR,1722476754
240,broome,42.2506,-75.833,23.07,82,0,0.45,US,1722476755
241,parun,35.4207,70.9221,14.13,50,0,5.42,AF,1722476759
242,antsiranana,-12.2787,49.2917,21.39,72,2,6.67,MG,1722476761
243,atafu village,-8.5421,-172.5159,27.63,74,100,9.85,TK,1722476763
244,birao,10.2849,22.7882,21.26,97,42,1.67,CF,1722476765
245,north platte,41.1239,-100.7654,30.94,42,0,3.13,US,1722476496
246,porto novo,6.4965,2.6036,24.9,88,100,4.44,BJ,1722476771
247,chos malal,-37.3781,-70.2709,9.89,57,100,8.04,AR,1722476773
248,vorgashor,67.5833,63.95,17.32,85,100,2.23,RU,1722476775
249,santana,-0.0583,-51.1817,26.1,94,0,1.54,BR,1722476777
250,la passe,45.5549,-0.8967,23.13,96,25,3.39,FR,1722476778
251,ursulo galvan,22.7333,-98.3,29.07,86,0,3.36,MX,1722476780
252,santa maria,-29.6842,-53.8069,14.61,100,0,1.54,BR,1722476782
253,hammerfest,70.6634,23.6821,11.25,93,7,3.09,NO,1722476785
254,luderitz,-26.6481,15.1594,14.06,45,0,5.29,NA,1722476787
255,wangqing,43.3218,129.7634,29.87,65,68,4.15,CN,1722476789
256,bilqas,31.2145,31.358,22.4,94,0,2.13,EG,1722476791
257,rahimah,26.7079,50.0619,30.12,60,99,4.51,SA,1722476792
258,quibdo,5.6947,-76.6611,24.27,96,94,0.58,CO,1722476796
259,chita,52.0333,113.55,19.94,56,98,1.0,RU,1722476705
260,deir ez-zor,35.3359,40.1408,29.85,40,0,5.47,SY,1722476800
261,north lakhimpur,27.2333,94.1167,25.05,94,100,5.14,IN,1722476802
262,miedzyrzecz,52.4446,15.578,19.31,65,100,2.31,PL,1722476804
263,prince rupert,54.3161,-130.3201,15.05,88,100,2.57,CA,1722476806
264,afaahiti,-17.75,-149.2833,23.93,59,48,7.25,PF,1722476810
265,wad az zaki,14.4619,32.2065,26.02,67,37,6.24,SD,1722476812
266,port mathurin,-19.6833,63.4167,22.72,79,98,6.48,MU,1722476814
267,ancud,-41.8697,-73.8203,9.42,92,100,7.28,CL,1722476816
268,valsad,20.6333,72.9333,26.67,92,100,6.61,IN,1722476818
269,cedeira,43.6797,-8.0209,18.87,51,98,3.3,ES,1722476819
270,constantia,44.1833,28.65,18.38,72,0,3.83,RO,1722476821
271,umm ruwaba,12.9061,31.2158,24.15,74,97,3.23,SD,1722476823
272,eregli,37.5133,34.0467,18.84,45,0,1.1,TR,1722476825
273,antofagasta,-23.65,-70.4,14.6,88,19,1.38,CL,1722476724
274,argo,37.6333,22.7333,23.21,39,0,1.69,GR,1722476829
275,brisas de zicatela,15.8369,-97.0419,30.29,74,100,1.54,MX,1722476831
276,alaghsas,17.0187,8.0168,29.07,56,17,7.06,NE,1722476833
277,kourou,5.1552,-52.6478,25.03,84,0,2.41,GF,1722476835
278,fale old settlement,-9.3852,-171.2468,27.15,70,100,8.86,TK,1722476837
279,iquique,-20.2208,-70.1431,16.02,78,62,0.28,CL,1722476539
280,mosjoen,65.836,13.1908,12.29,71,75,0.0,NO,1722476840
281,sekong,-6.3996,106.0252,29.93,59,32,0.54,ID,1722476842
282,tres arroyos,-38.3739,-60.2798,11.71,78,100,5.71,AR,1722476844
283,weno,7.4515,151.8468,31.97,74,20,1.54,FM,1722476846
284,atherton,53.5237,-2.4935,19.08,88,100,0.89,GB,1722476848
285,magistral'nyy,56.1725,107.4458,17.77,55,100,1.41,RU,1722476850
286,san patricio,28.017,-97.5169,29.92,71,0,6.28,US,1722476852
287,ghat,24.9647,10.1728,27.96,23,1,1.63,LY,1722476854
288,flin flon,54.7682,-101.865,23.48,47,72,3.64,CA,1722476662
289,shancheng,34.7953,116.0817,27.13,91,100,4.45,CN,1722476857
290,portland,45.5234,-122.6762,30.99,48,20,4.12,US,1722476605
291,santa maria da boa vista,-8.8078,-39.8256,22.8,58,0,6.48,BR,1722476861
292,jumla,29.2747,82.1838,17.89,84,100,1.01,NP,1722476863
293,warrnambool,-38.3833,142.4833,12.04,55,95,3.24,AU,1722476865
294,queenstown,-31.8976,26.8753,1.71,46,0,1.36,ZA,1722476867
295,cedar city,37.6775,-113.0619,32.54,9,0,5.14,US,1722476869
296,fisterra,42.9049,-9.2629,18.9,95,99,4.09,ES,1722476871
297,kapuskasing,49.4169,-82.4331,26.05,78,20,2.06,CA,1722476873
298,mount pearl,47.5166,-52.7813,19.98,90,20,7.72,CA,1722476875
299,nueva esperanza,15.2667,-87.6,25.79,99,99,0.45,HN,1722476877
300,camden,39.7835,-74.9663,28.13,87,51,0.45,US,1722476879
301,crucecita,-28.95,-58.9833,19.82,76,4,5.11,AR,1722476881
302,carmel hamlet,41.4148,-73.6852,23.96,78,20,1.54,US,1722476883
303,okondja,-0.6549,13.6753,21.37,70,39,0.98,GA,1722476885
304,amahai,-3.3333,128.9167,26.12,84,82,4.73,ID,1722476886
305,mankapur,27.0333,82.2333,30.33,69,68,1.57,IN,1722476888
306,greymouth,-42.4667,171.2,9.44,60,9,4.41,NZ,1722476890
307,fort dodge,42.4975,-94.168,27.22,82,100,0.89,US,1722476892
308,taoudenni,22.6783,-3.9836,34.58,10,0,9.14,ML,1722476895
309,quellon,-43.1167,-73.6167,9.5,92,100,9.4,CL,1722476899
310,cape town,-33.9258,18.4232,11.17,80,0,3.6,ZA,1722476794
311,illapel,-31.6308,-71.1653,14.39,56,100,1.46,CL,1722476903
312,klyuchi,52.2667,79.1667,25.59,50,8,2.17,RU,1722476905
313,karaton,-6.3424,106.1045,29.74,56,23,0.21,ID,1722476907
314,pingliang,35.5392,106.6861,26.37,54,9,1.36,CN,1722476908
315,kavieng,-2.5744,150.7967,29.39,69,50,4.02,PG,1722476910
316,palmas,-10.2128,-48.3603,24.93,57,0,2.57,BR,1722476673
317,haiku-pauwela,20.9219,-156.3051,28.98,65,40,10.8,US,1722476914
318,novyy buh,47.6931,32.5216,15.96,58,0,1.94,UA,1722476916
319,south lake tahoe,38.9332,-119.9844,30.41,30,0,0.45,US,1722476918
320,arteche,12.2645,125.4048,30.77,64,100,0.91,PH,1722476920
321,ephrata,40.1798,-76.1788,27.19,73,65,1.96,US,1722476922
322,florence,43.7667,11.25,25.85,82,0,2.57,IT,1722476300
323,acapulco de juarez,16.8634,-99.8901,29.9,74,100,2.57,MX,1722476765
324,belel,7.05,14.4333,16.37,99,100,2.68,CM,1722476928
325,kaplice,48.7385,14.4963,21.65,93,100,0.99,CZ,1722476929
326,noumea,-22.2763,166.4572,21.67,99,100,3.08,NC,1722476931
327,sarykemer,43.0,71.5,22.71,32,0,1.11,KZ,1722476933
328,preobrazheniye,42.9019,133.9064,25.5,81,77,2.58,RU,1722476935
329,dunedin,-45.8742,170.5036,8.22,67,60,1.34,NZ,1722476861
330,ellsworth,44.5434,-68.4195,21.18,95,100,5.66,US,1722476939
331,rio grande,-32.035,-52.0986,14.41,87,100,4.41,BR,1722476403
332,revda,56.801,59.9303,14.68,94,43,3.32,RU,1722476943
333,nagqu,31.5,92.0,8.81,47,7,1.68,CN,1722476945
334,galveston,29.3669,-94.9669,30.05,83,40,4.63,US,1722476856
335,sao joao da barra,-21.6403,-41.0511,21.7,70,34,5.54,BR,1722476948
336,severomorsk,69.0689,33.4162,11.22,90,99,6.78,RU,1722476950
337,ziri,46.0422,14.1072,19.64,81,6,0.71,SI,1722476952
338,laguna,38.421,-121.4238,36.8,32,0,4.63,US,1722476954
339,slavske,48.8473,23.4459,13.15,59,78,2.26,UA,1722476956
340,kailua-kona,19.6406,-155.9956,27.38,75,48,0.89,US,1722476958
341,ha tinh,18.3333,105.9,27.98,68,100,5.3,VN,1722476960
342,codrington,-38.2667,141.9667,12.73,59,43,2.78,AU,1722476962
